Title,Location,Company
"Manager, Data and Analytics COE","Toronto, ON",RBC
"Product Manager, Data Science","Ottawa, ON",Numerator
"Applied Scientist, Revenue & Modelling","Oakville, ON",Prodigy Game
Data Analyst,"London, ON",CARFAX Canada
Senior Data Analyst,"Mississauga, ON",Baylis Medical
"Senior Director, Data & Business Intelligence, Global","Toronto, ON",Colliers International
"Manager, Research and Data Science","Toronto, ON",BMO Financial Group
Data Scientist,"Ottawa, ON",CGI
"Applied Scientist, Alexa Speech","Toronto, ON","AMZN CAN Fulfillment Svcs, ULC"
"Staff Machine Learning Engineer, Content Intelligence Team (...","Montréal, QC",LogMeIn
Senior Data Scientist,"Toronto, ON",Accenture
Senior Data Analyst,"Calgary, AB",Symend
"Senior Data Scientist, Intact Lab","Montréal, QC",Intact
"Senior Director, Data & Business Intelligence, Global","Toronto, ON",Colliers International
"Machine Learning Engineer, Content Intelligence Team (Data E...","Montréal, QC",LogMeIn
Sr. Data Analyst,"Toronto, ON",TKEES
"Product Manager, Data Science","Ottawa, ON",Numerator
Data Scientist,"Ottawa, ON",CGI
"Applied Scientist, Revenue & Modelling","Oakville, ON",Prodigy Game
Data Scientist,Canada,TELUS
"Applied Scientist, Alexa Speech","Toronto, ON","AMZN CAN Fulfillment Svcs, ULC"
Data Analyst,"London, ON",CARFAX Canada
AI & Analytics Risk Officer,"Toronto, ON",BMO Financial Group
"Embedded Systems, Machine Learning Developer","Montréal, QC",wrnch
Data Science Bilingual- 4 months Co-op/Internship (Winter 20...,"Quebec City, QC",Intact
"Senior Director, Data & Business Intelligence, Global","Toronto, ON",Colliers International
"Build and Tooling Engineer, Machine Learning","Toronto, ON",Resolver
"Applied Scientist, Revenue & Modelling","Oakville, ON",Prodigy Game
Senior Data Scientist,"Toronto, ON",Accenture
"Senior Data Scientist, Intact Lab","Montréal, QC",Intact
"Developer, Machine Learning Engineering Python","Montréal, QC",Bell Canada
Senior Data Analyst,"Mississauga, ON",Baylis Medical
"Machine Learning Engineer, Content Intelligence Team (Data E...","Montréal, QC",LogMeIn
"Manager, Data Science (Harlequin Trade Publishing)","Toronto, ON",HarperCollins Publishers
"Manager, Research and Data Science","Toronto, ON",BMO Financial Group
Data Scientist,Canada,TELUS
Data Analyst,"London, ON",CARFAX Canada
Data Scientist,"Ottawa, ON",CGI
"Senior Analyst, Business Intelligence, COE","Brampton, ON",Loblaw Companies Limited
Adoption Data Analytics & Reporting Co-op/Intern,"West, ON",TD Bank
data scientist,"Vancouver, BC","ResponsiveAds, Inc."
"Build and Tooling Engineer, Machine Learning","Toronto, ON",Resolver
Data Science & Advanced Analytics Co-op/Intern,"Toronto, ON",TD Bank
"Product Manager, Data Science","Ottawa, ON",Numerator
Senior Data Analyst,"Calgary, AB",Symend
Senior Data Scientist,"Toronto, ON",Accenture
"Senior Data Scientist, Intact Lab","Montréal, QC",Intact
"Manager, Research and Data Science","Toronto, ON",BMO Financial Group
"Senior Machine Learning Engineer, Content Intelligence Team...","Montréal, QC",LogMeIn
"Manager, Data Science (Harlequin Trade Publishing)","Toronto, ON",HarperCollins Publishers
2021 Corporate & Investment Bank - Quantitative Analytics Su...,"Scarborough, ON","JPMorgan Chase Bank, N.A."
AI & Analytics Risk Officer,"Toronto, ON",BMO Financial Group
Data Analyst,"London, ON",CARFAX Canada
Senior Data Analyst,"Mississauga, ON",Baylis Medical
Data Science Bilingual- 4 months Co-op/Internship (Winter 20...,"Quebec City, QC",Intact
Junior Data Analyst - Student Intern,"Calgary, AB",The Mustard Seed
Data & Analytics Business Analyst Co-op/Internship (Winter 2...,"Victoria, BC",BC IMC
"Developer, Machine Learning Engineering Python","Montréal, QC",Bell Canada
Senior Data Analyst,"Mississauga, ON",Baylis Medical
Digital and Emerging Technology Risk Officer,"Toronto, ON",BMO Financial Group
"Product Manager, Analytics","Toronto, ON",PagerDuty
"Senior Analyst, Business Intelligence, COE","Brampton, ON",Loblaw Companies Limited
Anonymization Data Analyst,Ontario,IQVIA
"Embedded Systems, Machine Learning Developer","Montréal, QC",wrnch
"Associate, Building Information Analytics","Milton, ON",Mattamy Homes
"Staff Machine Learning Engineer, Content Intelligence Team (...","Montréal, QC",LogMeIn
"Senior Manager, Research & Data Science","Toronto, ON",BMO Financial Group
Data Scientist,"Ottawa, ON",CGI
"Senior Machine Learning Engineer, Content Intelligence Team...","Montréal, QC",LogMeIn
Senior Business Intelligence Analyst,"Toronto, ON",BMW Group Financial Services Canada
Anonymization Data Analyst,Ontario,IQVIA
Data Analyst,"London, ON",CARFAX Canada
Digital and Emerging Technology Risk Officer,"Toronto, ON",BMO Financial Group
"Product Manager, Analytics","Toronto, ON",PagerDuty
"Senior Director, Data & Business Intelligence, Global","Toronto, ON",Colliers International
"Staff Machine Learning Engineer, Content Intelligence Team (...","Montréal, QC",LogMeIn
Senior Data Analyst,"Mississauga, ON",Baylis Medical
"Applied Scientist, Alexa Speech","Toronto, ON","AMZN CAN Fulfillment Svcs, ULC"
"Senior Analyst, Business Intelligence, COE","Brampton, ON",Loblaw Companies Limited
"Embedded Systems, Machine Learning Developer","Montréal, QC",wrnch
"Senior Machine Learning Engineer, Content Intelligence Team...","Montréal, QC",LogMeIn
"Associate, Building Information Analytics","Milton, ON",Mattamy Homes
"Senior Manager, Research & Data Science","Toronto, ON",BMO Financial Group
Data Scientist,"Ottawa, ON",CGI
Senior Business Intelligence Analyst,"Toronto, ON",BMW Group Financial Services Canada
Data Science – 4 Month Co-op/Internship (Winter 2021),"Toronto, ON",Intact
Senior Data Analyst,"Mississauga, ON",Baylis Medical
Junior Data Analyst - Student Intern,"Calgary, AB",The Mustard Seed
Data Scientist,"Vancouver, BC",Finning International Inc.
"Embedded Systems, Machine Learning Developer","Montréal, QC",wrnch
Digital and Emerging Technology Risk Officer,"Toronto, ON",BMO Financial Group
"Staff Machine Learning Engineer, Content Intelligence Team (...","Montréal, QC",LogMeIn
"Senior Machine Learning Engineer, Content Intelligence Team...","Montréal, QC",LogMeIn
"Product Manager, Analytics","Toronto, ON",PagerDuty
Data Analyst,"London, ON",CARFAX Canada
"Manager, Data Science (Harlequin Trade Publishing)","Toronto, ON",HarperCollins Publishers
"Senior Analyst, Business Intelligence, COE","Brampton, ON",Loblaw Companies Limited
"Senior Manager, Research & Data Science","Toronto, ON",BMO Financial Group
Data Scientist,"Ottawa, ON",CGI
BI / Big Data Developer,"Montréal, QC",Ubisoft
Senior Data Scientist (Technology Group),"Montréal, QC",Ubisoft
"Product Manager, Analytics","Toronto, ON",PagerDuty
"Manager, Data Science (Harlequin Trade Publishing)","Toronto, ON",HarperCollins Publishers
Adoption Data Analytics & Reporting Co-op/Intern,"West, ON",TD Bank
"Embedded Systems, Machine Learning Developer","Montréal, QC",wrnch
Data & Analytics Business Analyst Co-op/Internship (Winter 2...,"Victoria, BC",BC IMC
"Staff Machine Learning Engineer, Content Intelligence Team (...","Montréal, QC",LogMeIn
2021 Corporate & Investment Bank - Quantitative Analytics Su...,"Scarborough, ON","JPMorgan Chase Bank, N.A."
BI / Big Data Developer,"Montréal, QC",Ubisoft
"Senior Analyst, Business Intelligence, COE","Brampton, ON",Loblaw Companies Limited
Data Science – 4 Month Co-op/Internship (Winter 2021),"Toronto, ON",Intact
Data Scientist,"Ottawa, ON",CGI
"Team Lead, Machine Learning Software Engineering","Toronto, ON",Loblaw Digital
Senior Business Intelligence Analyst,"Toronto, ON",BMW Group Financial Services Canada
"Senior Manager, Research & Data Science","Toronto, ON",BMO Financial Group
Data & Analytics Business Analyst Co-op/Internship (Winter 2...,"Victoria, BC",BC IMC
Senior Statistician,"Vancouver, BC",PHSA
"Embedded Systems, Machine Learning Developer","Montréal, QC",wrnch
"Manager, Research and Data Science","Toronto, ON",BMO Financial Group
Senior Data Scientist (Technology Group),"Montréal, QC",Ubisoft
"Senior Machine Learning Engineer, Content Intelligence Team...","Montréal, QC",LogMeIn
"Senior Data Scientist, Intact Lab","Montréal, QC",Intact
"Senior Analyst, Business Intelligence, COE","Brampton, ON",Loblaw Companies Limited
Adoption Data Analytics & Reporting Co-op/Intern,"West, ON",TD Bank
"Team Lead, Machine Learning Software Engineering","Toronto, ON",Loblaw Digital
Data Scientist,"Ottawa, ON",CGI
"Manager, Data Science (Harlequin Brand Group)","Toronto, ON",HarperCollins Publishers
Junior Data Analyst - Student Intern,"Calgary, AB",The Mustard Seed
"Staff Machine Learning Engineer, Content Intelligence Team (...","Montréal, QC",LogMeIn
BI / Big Data Developer,"Montréal, QC",Ubisoft
"Product Manager, Analytics","Toronto, ON",PagerDuty
"Senior Analyst, Business Intelligence, COE","Brampton, ON",Loblaw Companies Limited
Data Analyst,"London, ON",CARFAX Canada
"Senior Machine Learning Engineer, Content Intelligence Team...","Montréal, QC",LogMeIn
Senior Data Scientist (Technology Group),"Montréal, QC",Ubisoft
Senior Business Intelligence Analyst,"Toronto, ON",BMW Group Financial Services Canada
"Manager, Data Science (Harlequin Brand Group)","Toronto, ON",HarperCollins Publishers
"Staff Machine Learning Engineer, Content Intelligence Team (...","Montréal, QC",LogMeIn
BI / Big Data Developer,"Montréal, QC",Ubisoft
"Senior Manager, Research & Data Science","Toronto, ON",BMO Financial Group
Data & Analytics Business Analyst Co-op/Internship (Winter 2...,"Victoria, BC",BC IMC
Data Scientist,"Ottawa, ON",CGI
"Applied Scientist, Alexa Speech","Toronto, ON","AMZN CAN Fulfillment Svcs, ULC"
Adoption Data Analytics & Reporting Co-op/Intern,"West, ON",TD Bank
Junior Data Analyst - Student Intern,"Calgary, AB",The Mustard Seed
"Senior Analyst, Business Intelligence, COE","Brampton, ON",Loblaw Companies Limited
Data Analyst,"London, ON",CARFAX Canada
"Manager, Data Science (Harlequin Brand Group)","Toronto, ON",HarperCollins Publishers
Senior Statistician,"Vancouver, BC",PHSA
Data & Analytics Business Analyst Co-op/Internship (Winter 2...,"Victoria, BC",BC IMC
"Senior Machine Learning Engineer, Content Intelligence Team...","Montréal, QC",LogMeIn
"Embedded Systems, Machine Learning Developer","Montréal, QC",wrnch
"Senior Data Scientist, Intact Lab","Montréal, QC",Intact
"Senior Manager, Research & Data Science","Toronto, ON",BMO Financial Group
Adoption Data Analytics & Reporting Co-op/Intern,"West, ON",TD Bank
"Applied Scientist, Alexa Speech","Toronto, ON","AMZN CAN Fulfillment Svcs, ULC"
BI / Big Data Developer,"Montréal, QC",Ubisoft
Digital and Emerging Technology Risk Officer,"Toronto, ON",BMO Financial Group
Data Scientist,"Ottawa, ON",CGI
"Staff Machine Learning Engineer, Content Intelligence Team (...","Montréal, QC",LogMeIn
"Senior Manager, Research & Data Science","Toronto, ON",BMO Financial Group
"Embedded Systems, Machine Learning Developer","Montréal, QC",wrnch
Senior Business Intelligence Analyst,"Toronto, ON",BMW Group Financial Services Canada
"Product Manager, Analytics","Toronto, ON",PagerDuty
Data & Analytics Business Analyst Co-op/Internship (Winter 2...,"Victoria, BC",BC IMC
Anonymization Data Analyst,Ontario,IQVIA
"Senior Analyst, Business Intelligence, COE","Brampton, ON",Loblaw Companies Limited
Senior Statistician,"Vancouver, BC",PHSA
BI / Big Data Developer,"Montréal, QC",Ubisoft
"Manager, Data Science (Harlequin Brand Group)","Toronto, ON",HarperCollins Publishers
Junior Data Analyst - Student Intern,"Calgary, AB",The Mustard Seed
Adoption Data Analytics & Reporting Co-op/Intern,"West, ON",TD Bank
Data Scientist,"Ottawa, ON",CGI
"Staff Machine Learning Engineer, Content Intelligence Team (...","Montréal, QC",LogMeIn
Data Science Bilingual- 4 months Co-op/Internship (Winter 20...,"Quebec City, QC",Intact
"Product Manager, Analytics","Toronto, ON",PagerDuty
Data Analyst,"London, ON",CARFAX Canada
Anonymization Data Analyst,Ontario,IQVIA
"Manager, Research and Data Science","Toronto, ON",BMO Financial Group
"Manager, Data Science (Harlequin Trade Publishing)","Toronto, ON",HarperCollins Publishers
Senior Statistical Programmer,"Kirkland, QC",IQVIA
Senior Statistician,"Vancouver, BC",PHSA
Data & Analytics Business Analyst Co-op/Internship (Winter 2...,"Victoria, BC",BC IMC
Adoption Data Analytics & Reporting Co-op/Intern,"West, ON",TD Bank
"Team Lead, Machine Learning Software Engineering","Toronto, ON",Loblaw Digital
BI / Big Data Developer,"Montréal, QC",Ubisoft
Senior Business Intelligence Analyst,"Toronto, ON",BMW Group Financial Services Canada
Data Science – 4 Month Co-op/Internship (Winter 2021),"Toronto, ON",Intact
"Senior Manager, Research & Data Science","Toronto, ON",BMO Financial Group
"Senior Analyst, Business Intelligence, COE","Brampton, ON",Loblaw Companies Limited
"Embedded Systems, Machine Learning Developer","Montréal, QC",wrnch
"Team Lead, Machine Learning Software Engineering","Toronto, ON",Loblaw Digital
"Senior Data Scientist, Intact Lab","Montréal, QC",Intact
Adoption Data Analytics & Reporting Co-op/Intern,"West, ON",TD Bank
Senior Data Scientist (Technology Group),"Montréal, QC",Ubisoft
Data Analyst,"London, ON",CARFAX Canada
Data & Analytics Business Analyst Co-op/Internship (Winter 2...,"Victoria, BC",BC IMC
"Staff Machine Learning Engineer, Content Intelligence Team (...","Montréal, QC",LogMeIn
Data Science – 4 Month Co-op/Internship (Winter 2021),"Toronto, ON",Intact
Senior Statistician,"Vancouver, BC",PHSA
2021 Corporate & Investment Bank - Quantitative Analytics Su...,"Scarborough, ON","JPMorgan Chase Bank, N.A."
Senior Statistical Programmer,"Kirkland, QC",IQVIA
"Senior Analyst, Business Intelligence, COE","Brampton, ON",Loblaw Companies Limited
Senior Business Intelligence Analyst,"Toronto, ON",BMW Group Financial Services Canada
Junior Data Analyst - Student Intern,"Calgary, AB",The Mustard Seed
"Senior Manager, Research & Data Science","Toronto, ON",BMO Financial Group
Senior Business Intelligence Analyst,"Toronto, ON",BMW Group Financial Services Canada
"Manager, Data Science (Harlequin Brand Group)","Toronto, ON",HarperCollins Publishers
Data Scientist,"Ottawa, ON",CGI
BI / Big Data Developer,"Montréal, QC",Ubisoft
Wealth Advanced Data & Analytics Co-op/Intern,"Toronto, ON",TD Bank
Senior Data Science Advisor,"Toronto, ON",Desjardins
Programmer/Developer Lead - Sr Data Analyst - Visualization,"Toronto, ON",Capgemini
Data Scientist,"Ottawa, ON",Mastech InfoTrellis
Machine Learning Engineer,"Toronto, ON",BFS Capital
Data Scientist,"Quebec City, QC",Rhetorik
Data Scientist,"Vancouver, BC",FORM
Senior Data Scientist,"Vancouver, BC",Tasktop
Lead Machine Learning Engineer,"Toronto, ON",Patriot One Technologies
Machine Learning Engineer,"Montréal, QC",Boast.AI
Wealth Advanced Data & Analytics Co-op/Intern,"Toronto, ON",TD Bank
Digital and Emerging Technology Risk Officer,"Toronto, ON",BMO Financial Group
"Senior Director, Data & Business Intelligence, Global","Toronto, ON",Colliers International
"Senior Analyst, Business Intelligence, COE","Brampton, ON",Loblaw Companies Limited
Senior Business Intelligence Analyst,"Toronto, ON",BMW Group Financial Services Canada
Senior Statistician,"Vancouver, BC",PHSA
Senior Data Science Advisor,"Toronto, ON",Desjardins
Programmer/Developer Lead - Sr Data Analyst - Visualization,"Toronto, ON",Capgemini
Data Scientist,"Ottawa, ON",Mastech InfoTrellis
Data Scientist,"Quebec City, QC",Rhetorik
Machine Learning Engineer,"Toronto, ON",BFS Capital
Data Scientist,"Vancouver, BC",FORM
Data Science Machine Learning PAID STUDENT INTERNSHIP,"Toronto, ON",Qode Social Media Marketing
Machine Learning,"Ottawa, ON",Enhance IT
Senior Data Scientist,"Vancouver, BC",Tasktop
"Team Lead, Machine Learning Software Engineering","Toronto, ON",Loblaw Digital
Data Science Bilingual- 4 months Co-op/Internship (Winter 20...,"Quebec City, QC",Intact
Senior Data Science Advisor,"Toronto, ON",Desjardins
Senior Statistical Programmer,"Kirkland, QC",IQVIA
"Staff Machine Learning Engineer, Content Intelligence Team (...","Montréal, QC",LogMeIn
Senior Statistician,"Vancouver, BC",PHSA
"Senior Machine Learning Engineer, Content Intelligence Team...","Montréal, QC",LogMeIn
Data Scientist,"Ottawa, ON",Mastech InfoTrellis
Data Scientist,"Quebec City, QC",Rhetorik
Programmer/Developer Lead - Sr Data Analyst - Visualization,"Toronto, ON",Capgemini
Data Scientist,"Vancouver, BC",FORM
Data Scientist,"Ottawa, ON",Larus Technologies
Machine Learning Engineer,"Toronto, ON",BFS Capital
Data Science Machine Learning PAID STUDENT INTERNSHIP,"Toronto, ON",Qode Social Media Marketing
Senior Data Scientist,"Vancouver, BC",Tasktop
Senior Statistician,"Vancouver, BC",PHSA
"Staff Machine Learning Engineer, Content Intelligence Team (...","Montréal, QC",LogMeIn
"Team Lead, Machine Learning Software Engineering","Toronto, ON",Loblaw Digital
Digital and Emerging Technology Risk Officer,"Toronto, ON",BMO Financial Group
Junior Data Analyst - Student Intern,"Calgary, AB",The Mustard Seed
Senior Data Science Advisor,"Toronto, ON",Desjardins
Data Scientist,"Ottawa, ON",Mastech InfoTrellis
Wealth Advanced Data & Analytics Co-op/Intern,"Toronto, ON",TD Bank
Programmer/Developer Lead - Sr Data Analyst - Visualization,"Toronto, ON",Capgemini
Data Scientist,"Quebec City, QC",Rhetorik
Data Scientist,"Vancouver, BC",FORM
Senior Data Scientist,"Vancouver, BC",Tasktop
Machine Learning Engineer,"Toronto, ON",BFS Capital
Machine Learning,"Ottawa, ON",Enhance IT
Bioinformatics Data Scientist,"Montréal, QC",Galenvs Sciences Inc.
Senior Business Intelligence Analyst,"Toronto, ON",BMW Group Financial Services Canada
Junior Data Analyst - Student Intern,"Calgary, AB",The Mustard Seed
"Manager, Data Science (Harlequin Brand Group)","Toronto, ON",HarperCollins Publishers
Programmer/Developer Lead - Sr Data Analyst - Visualization,"Toronto, ON",Capgemini
Wealth Advanced Data & Analytics Co-op/Intern,"Toronto, ON",TD Bank
Digital and Emerging Technology Risk Officer,"Toronto, ON",BMO Financial Group
Senior Data Science Advisor,"Toronto, ON",Desjardins
"Product Manager, Analytics","Toronto, ON",PagerDuty
Data Scientist,"Ottawa, ON",Mastech InfoTrellis
Data Scientist,"Quebec City, QC",Rhetorik
Senior Data Scientist,"Vancouver, BC",Tasktop
Data Scientist,"Vancouver, BC",FORM
Machine Learning Engineer,"Toronto, ON",BFS Capital
Machine Learning,"Ottawa, ON",Enhance IT
Machine Learning Engineer,"Montréal, QC",Boast.AI
2021 Corporate & Investment Bank - Quantitative Analytics Su...,"Scarborough, ON","JPMorgan Chase Bank, N.A."
Senior Data Science Advisor,"Toronto, ON",Desjardins
Digital and Emerging Technology Risk Officer,"Toronto, ON",BMO Financial Group
BI / Big Data Developer,"Montréal, QC",Ubisoft
Senior Business Intelligence Analyst,"Toronto, ON",BMW Group Financial Services Canada
Junior Data Analyst - Student Intern,"Calgary, AB",The Mustard Seed
Programmer/Developer Lead - Sr Data Analyst - Visualization,"Toronto, ON",Capgemini
Wealth Advanced Data & Analytics Co-op/Intern,"Toronto, ON",TD Bank
Data Scientist,"Ottawa, ON",Mastech InfoTrellis
Data Scientist,"Quebec City, QC",Rhetorik
Machine Learning Engineer,"Toronto, ON",BFS Capital
Senior Data Scientist,"Vancouver, BC",Tasktop
Machine Learning,"Toronto, ON",Enhance IT
Data Scientist,"Vancouver, BC",FORM
Machine Learning Engineer,"Montréal, QC",Boast.AI
Data & Analytics Business Analyst Co-op/Internship (Winter 2...,"Victoria, BC",BC IMC
Digital and Emerging Technology Risk Officer,"Toronto, ON",BMO Financial Group
Adoption Data Analytics & Reporting Co-op/Intern,"West, ON",TD Bank
Data Science Bilingual- 4 months Co-op/Internship (Winter 20...,"Quebec City, QC",Intact
Senior Data Science Advisor,"Toronto, ON",Desjardins
2021 Corporate & Investment Bank - Quantitative Analytics Su...,"Scarborough, ON","JPMorgan Chase Bank, N.A."
Junior Data Analyst - Student Intern,"Calgary, AB",The Mustard Seed
Wealth Advanced Data & Analytics Co-op/Intern,"Toronto, ON",TD Bank
Data Scientist,"Ottawa, ON",Mastech InfoTrellis
Data Scientist,"Quebec City, QC",Rhetorik
Senior Data Scientist,"Vancouver, BC",Tasktop
Machine Learning Engineer,"Toronto, ON",BFS Capital
Machine Learning Engineer,"Montréal, QC",Boast.AI
Data Scientist,"Vancouver, BC",FORM
Machine Learning,"Toronto, ON",Enhance IT
"Team Lead, Machine Learning Software Engineering","Toronto, ON",Loblaw Digital
"Senior Manager, Research & Data Science","Toronto, ON",BMO Financial Group
"Senior Analyst, Business Intelligence, COE","Brampton, ON",Loblaw Companies Limited
Senior Statistician,"Vancouver, BC",PHSA
Senior Business Intelligence Analyst,"Toronto, ON",BMW Group Financial Services Canada
Digital and Emerging Technology Risk Officer,"Toronto, ON",BMO Financial Group
Senior Data Science Advisor,"Toronto, ON",Desjardins
Programmer/Developer Lead - Sr Data Analyst - Visualization,"Toronto, ON",Capgemini
Data Scientist,"Ottawa, ON",Mastech InfoTrellis
Data Scientist,"Quebec City, QC",Rhetorik
Machine Learning Engineer,"Toronto, ON",BFS Capital
Data Science Machine Learning PAID STUDENT INTERNSHIP,"Toronto, ON",Qode Social Media Marketing
Machine Learning,"Toronto, ON",Enhance IT
Data Scientist,"Vancouver, BC",FORM
Senior Data Scientist,"Vancouver, BC",Tasktop
Junior Data Analyst - Student Intern,"Calgary, AB",The Mustard Seed
"Manager, Data Science (Harlequin Brand Group)","Toronto, ON",HarperCollins Publishers
Wealth Advanced Data & Analytics Co-op/Intern,"Toronto, ON",TD Bank
2021 Corporate & Investment Bank - Quantitative Analytics Su...,"Scarborough, ON","JPMorgan Chase Bank, N.A."
"Product Manager, Analytics","Toronto, ON",PagerDuty
Programmer/Developer Lead - Sr Data Analyst - Visualization,"Toronto, ON",Capgemini
Digital and Emerging Technology Risk Officer,"Toronto, ON",BMO Financial Group
Senior Data Science Advisor,"Toronto, ON",Desjardins
Data Scientist,"Ottawa, ON",Mastech InfoTrellis
Data Scientist,"Quebec City, QC",Rhetorik
Machine Learning Engineer,"Toronto, ON",BFS Capital
Senior Data Scientist,"Vancouver, BC",Tasktop
Machine Learning,"Toronto, ON",Enhance IT
Data Scientist,"Vancouver, BC",FORM
Data Science Machine Learning PAID STUDENT INTERNSHIP,"Toronto, ON",Qode Social Media Marketing
"Staff Machine Learning Engineer, Content Intelligence Team (...","Montréal, QC",LogMeIn
Senior Business Intelligence Analyst,"Toronto, ON",BMW Group Financial Services Canada
Junior Data Analyst - Student Intern,"Calgary, AB",The Mustard Seed
"Team Lead, Machine Learning Software Engineering","Toronto, ON",Loblaw Digital
BI / Big Data Developer,"Montréal, QC",Ubisoft
Wealth Advanced Data & Analytics Co-op/Intern,"Toronto, ON",TD Bank
Senior Data Science Advisor,"Toronto, ON",Desjardins
Programmer/Developer Lead - Sr Data Analyst - Visualization,"Toronto, ON",Capgemini
Data Scientist,"Ottawa, ON",Mastech InfoTrellis
Data Scientist,"Quebec City, QC",Rhetorik
Machine Learning Engineer,"Toronto, ON",BFS Capital
Senior Data Scientist,"Vancouver, BC",Tasktop
Data Scientist,"Vancouver, BC",FORM
Machine Learning,"Toronto, ON",Enhance IT
Data Science Machine Learning PAID STUDENT INTERNSHIP,"Toronto, ON",Qode Social Media Marketing
Data Scientist - Marketing,"Montréal, QC",MegaZebra GmbH
Data Science Machine Learning PAID STUDENT INTERNSHIP,"Toronto, ON",Qode Social Media Marketing
Data Scientist,"Kingston, ON",DocuPet
Data Scientist,"Ottawa, ON",Larus Technologies
Lead Machine Learning Engineer,"Toronto, ON",Patriot One Technologies
Machine Learning Engineer,"Vancouver, BC",Niricson Software Inc.
Bioinformatics Data Scientist,"Montréal, QC",Galenvs Sciences Inc.
Data Analyst,"Hamilton, ON",Hifyre
Head of Data Analytics,"Toronto, ON",VersaPay
"Sr. Data Scientist, Machine Learning","Collingwood, ON",Deke Digital
"Software Engineer, Machine Learning Graphic Compiler [Canada...","Toronto, ON",Tenstorrent
Data Analyst,"Toronto, ON",Postmedia Network Inc.
Digital Data Analyst,"Ottawa, ON",LeapUX inc.
Machine Learning Engineer,"Edmonton, AB",Granify
Post doc in signal processing and machine learning,"Sherbrooke, QC",Universite de Sherbrooke
Data Scientist - Marketing,"Montréal, QC",MegaZebra GmbH
Lead Machine Learning Engineer,"Toronto, ON",Patriot One Technologies
Data Scientist,"Kingston, ON",DocuPet
Machine Learning Engineer,"Victoria, BC",Niricson Software Inc.
Data Science Machine Learning PAID STUDENT INTERNSHIP,"Toronto, ON",Qode Social Media Marketing
Data Scientist,"Ottawa, ON",Larus Technologies
Data Analyst,"Hamilton, ON",Hifyre
Bioinformatics Data Scientist,"Montréal, QC",Galenvs Sciences Inc.
"Software Engineer, Machine Learning Graphic Compiler [Canada...","Toronto, ON",Tenstorrent
"Sr. Data Scientist, Machine Learning","Collingwood, ON",Deke Digital
Head of Data Analytics,"Toronto, ON",VersaPay
Data Analyst,"Toronto, ON",Postmedia Network Inc.
Digital Data Analyst,"Ottawa, ON",LeapUX inc.
Machine Learning Engineer,"Edmonton, AB",Granify
Post doc in signal processing and machine learning,"Sherbrooke, QC",Universite de Sherbrooke
Data Science Machine Learning PAID STUDENT INTERNSHIP,"Toronto, ON",Qode Social Media Marketing
Machine Learning Engineer,"Victoria, BC",Niricson Software Inc.
Data Analyst,"Hamilton, ON",Hifyre
Data Scientist,"Ottawa, ON",Larus Technologies
Data Scientist,"Kingston, ON",DocuPet
Bioinformatics Data Scientist,"Montréal, QC",Galenvs Sciences Inc.
"Software Engineer, Machine Learning Graphic Compiler [Canada...","Toronto, ON",Tenstorrent
Data Scientist - Marketing,"Montréal, QC",MegaZebra GmbH
Lead Machine Learning Engineer,"Toronto, ON",Patriot One Technologies
Data Analyst,"Toronto, ON",Postmedia Network Inc.
"Sr. Data Scientist, Machine Learning","Collingwood, ON",Deke Digital
Head of Data Analytics,"Toronto, ON",VersaPay
Digital Data Analyst,"Ottawa, ON",LeapUX inc.
Post doc in signal processing and machine learning,"Sherbrooke, QC",Universite de Sherbrooke
Machine Learning Engineer,"Edmonton, AB",Granify
Senior Data Scientist,"Vancouver, BC",Tasktop
Machine Learning Engineer,"Victoria, BC",Niricson Software Inc.
"Software Engineer, Machine Learning Graphic Compiler [Canada...","Toronto, ON",Tenstorrent
Data Scientist,"Ottawa, ON",Larus Technologies
Data Scientist,"Kingston, ON",DocuPet
Bioinformatics Data Scientist,"Montréal, QC",Galenvs Sciences Inc.
Data Analyst,"Hamilton, ON",Hifyre
Data Scientist - Marketing,"Montréal, QC",MegaZebra GmbH
Data Analyst,"Toronto, ON",Postmedia Network Inc.
Lead Machine Learning Engineer,"Toronto, ON",Patriot One Technologies
"Sr. Data Scientist, Machine Learning","Collingwood, ON",Deke Digital
Head of Data Analytics,"Toronto, ON",VersaPay
Digital Data Analyst,"Ottawa, ON",LeapUX inc.
Post doc in signal processing and machine learning,"Sherbrooke, QC",Universite de Sherbrooke
Machine Learning Engineer,"Edmonton, AB",Granify
Machine Learning Engineer,"Montréal, QC",Boast.AI
Data Science Machine Learning PAID STUDENT INTERNSHIP,"Toronto, ON",Qode Social Media Marketing
"Software Engineer, Machine Learning Graphic Compiler [Canada...","Toronto, ON",Tenstorrent
Bioinformatics Data Scientist,"Montréal, QC",Galenvs Sciences Inc.
Data Scientist,"Kingston, ON",DocuPet
Head of Data Analytics,"Toronto, ON",VersaPay
Data Scientist - Marketing,"Montréal, QC",MegaZebra GmbH
Data Scientist,"Ottawa, ON",Larus Technologies
Data Analyst,"Hamilton, ON",Hifyre
"Sr. Data Scientist, Machine Learning","Collingwood, ON",Deke Digital
Lead Machine Learning Engineer,"Toronto, ON",Patriot One Technologies
Data Analyst,"Toronto, ON",Postmedia Network Inc.
Post doc in signal processing and machine learning,"Sherbrooke, QC",Universite de Sherbrooke
Digital Data Analyst,"Ottawa, ON",LeapUX inc.
Machine Learning Engineer,"Edmonton, AB",Granify
